de,en,cat,ex,pos,tr
aufräumen,to tidy up,Goethe A2,Die Kinder müssen ihr Zimmer aufräumen.,,"toplamak, düzenlemek"
aufregend,exciting,Goethe A2,Die letzte Woche war sehr aufregend.,,heyecan verici
aufstehen,to get up,Goethe A2,Ich stehe jeden Morgen um sieben Uhr auf.,,kalkmak
der Aufzug,elevator,Goethe A2,In diesem Haus gibt es keinen Aufzug.,,asansör
das Auge,eye,Goethe A2,Er hat blaue Augen.,,göz
beenden,"to finish, end",Goethe A2,Du musst deine Ausbildung beenden.,,bitirmek
beginnen,to begin,Goethe A2,Das Spiel beginnt um 15.30 Uhr.,,başlamak
begründen,to justify,Goethe A2,Bitte begründen Sie Ihre Meinung.,,gerekçelendirmek
bei,"at, near",Goethe A2,Ich wohne bei meinen Eltern.,,yanında
beide,both,Goethe A2,Wir kommen beide.,,her ikisi
das Bein,leg,Goethe A2,Mein rechtes Bein tut weh.,,bacak
bekannt,"known, famous",Goethe A2,Picasso ist sehr bekannt.,,tanınmış
der/die Bekannte,acquaintance,Goethe A2,Ein Bekannter von mir heißt Klaus.,,tanıdık
bekommen,"to receive, get",Goethe A2,Haben Sie meinen Brief bekommen?,,"almak, elde etmek"
beliebt,popular,Goethe A2,Fußball ist bei vielen Menschen beliebt.,,popüler
benutzen,to use,Goethe A2,Die Aufzüge bitte nicht benutzen!,,kullanmak
bequem,comfortable,Goethe A2,Das Sofa ist sehr bequem.,,rahat
beraten,to advise,Goethe A2,Unsere Sekretärin berät Sie gern.,,danışmanlık yapmak
der Berg,mountain,Goethe A2,Die Zugspitze ist der höchste Berg in Deutschland.,,dağ
berichten,to report,Goethe A2,Alle Zeitungen berichten von dem Unfall.,,"rapor etmek, bildirmek"
der Beruf,profession,Goethe A2,Was bist du von Beruf?,,meslek
berühmt,famous,Goethe A2,Thomas Müller ist ein berühmter Fußballspieler.,,ünlü
der Bescheid,"(to) let know, word",Goethe A2,Kannst du mir bis morgen Bescheid geben?,,haber
beschreiben,to describe,Goethe A2,Kannst du mir den Weg zum Bahnhof beschreiben?,,tarif etmek
sich beschweren,to complain,Goethe A2,Wo können wir uns beschweren?,,şikayet etmek
besetzt,occupied,Goethe A2,"Ist dieser Platz frei? – Nein, er ist besetzt.",,"dolu, meşgul"
der Automat,vending machine,Goethe A2,Fahrkarten gibt es nur am Automaten.,,otomat
automatisch,automatic,Goethe A2,Die Türen schließen automatisch.,,otomatik
das Baby,baby,Goethe A2,Wir haben ein Baby. Es ist sechs Wochen alt.,,bebek
der Babysitter,babysitter,Goethe A2,Meine Tochter arbeitet als Babysitter.,,bebek bakıcısı
backen,to bake,Goethe A2,"Wenn du kommst, backe ich einen Kuchen.",,fırında pişirmek
die Bäckerei,bakery,Goethe A2,Ich geh mal schnell zur Bäckerei.,,fırın
das Bad,bathroom,Goethe A2,Das Haus ist sehr alt. Es hat kein Bad.,,banyo
baden,to bathe,Goethe A2,"Ich bade nicht so gern, ich dusche lieber.",,banyo yapmak
die Bahn,"train, railway",Goethe A2,Wir fahren lieber mit der Bahn als mit dem Bus.,,"tren, demiryolu"
der Bahnhof,train station,Goethe A2,Komme ich hier zum Bahnhof?,,tren istasyonu
der Bahnsteig,platform,Goethe A2,Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,,peron
bald,soon,Goethe A2,Ich komme bald.,,yakında
der Balkon,balcony,Goethe A2,Die Wohnung hat auch einen kleinen Balkon.,,balkon
der Ball,ball,Goethe A2,Meine Kinder spielen gern Ball.,,top
die Banane,banana,Goethe A2,"Drei Bananen, bitte!",,muz
die Band,band (music),Goethe A2,Anton spielt in einer Band.,,müzik grubu
die Bank,bank / bench,Goethe A2,Bei welcher Bank haben Sie Ihr Konto?,,banka / bank
bar,cash,Goethe A2,Muss ich bar zahlen oder geht's auch mit Karte?,,nakit
der Basketball,basketball,Goethe A2,Yannick spielt lieber Basketball als Fußball.,,basketbol
basteln,to do crafts,Goethe A2,Die Kinder haben etwas gebastelt.,,el işi yapmak
der Bauch,stomach,Goethe A2,Seit gestern tut mir der Bauch weh.,,karın
bauen,to build,Goethe A2,Unsere Nachbarn bauen ein neues Haus.,,inşa etmek
der Baum,tree,Goethe A2,Der Baum ist über hundert Jahre alt.,,ağaç
die Baustelle,construction site,Goethe A2,Vor unserem Haus ist eine große Baustelle.,,inşaat alanı
beantworten,to answer (a question),Goethe A2,Können Sie meine Frage bitte beantworten?,,cevaplamak
sich bedanken,to thank,Goethe A2,Ich möchte mich für Ihre Hilfe bedanken.,,teşekkür etmek
bedeuten,to mean,Goethe A2,Was bedeutet das Wort?,,anlamına gelmek
sich beeilen,to hurry,Goethe A2,Kannst du dich bitte beeilen?,,acele etmek
bleiben,to stay,Goethe A2,Wir bleiben drei Tage in Berlin.,,kalmak
der Bleistift,pencil,Goethe A2,Hast du einen Bleistift?,,kurşun kalem
blöd,"silly, dumb",Goethe A2,"Ich finde es blöd, dass du gehen musst.",,aptalca
der Blog,blog,Goethe A2,Ich schreibe einen Blog über Mode.,,blog
blond,blonde,Goethe A2,Lisa hat blonde Haare.,,sarışın
die Blume,flower,Goethe A2,Gefallen dir die Blumen?,,çiçek
die Bluse,blouse,Goethe A2,Ich suche eine weiße Bluse.,,bluz
die Bohne,bean,Goethe A2,Hans isst nicht gern Bohnen.,,fasulye
böse,angry,Goethe A2,Sie ist richtig böse auf mich.,,kızgın
braten,"to fry, roast",Goethe A2,Braten Sie das Fleisch in etwas Öl!,,kızartmak
brauchen,to need,Goethe A2,Ich brauche ein neues Auto.,,ihtiyacı olmak
der Brief,letter,Goethe A2,Haben Sie einen Brief für mich?,,mektup
die Briefmarke,stamp,Goethe A2,Bitte die Briefmarke nicht vergessen!,,pul
die Brille,glasses,Goethe A2,Wo ist meine Brille?,,gözlük
bringen,to bring,Goethe A2,Bringen Sie mir bitte noch einen Kaffee!,,getirmek
das Brot,bread,Goethe A2,Haben Sie auch Weißbrot?,,ekmek
das Brötchen,bread roll,Goethe A2,Möchtest du Brot oder Brötchen zum Frühstück?,,küçük ekmek
die Brücke,bridge,Goethe A2,Fahren Sie über die nächste Brücke.,,köprü
das Buch,book,Goethe A2,"Was kostet das Buch, bitte?",,kitap
buchen,to book,Goethe A2,Morgen buche ich unsere Urlaubsreise.,,rezervasyon yapmak
der Buchstabe,letter (alphabet),Goethe A2,Diesen Buchstaben gibt es in meiner Sprache nicht.,,harf
buchstabieren,to spell,Goethe A2,Würden Sie bitte Ihren Namen buchstabieren?,,harf harf söylemek
bunt,colorful,Goethe A2,Anna trägt gern bunte Kleider.,,renkli
das Büro,office,Goethe A2,Ich arbeite in einem Büro.,,ofis
der Bus,bus,Goethe A2,Wann kommt der nächste Bus?,,otobüs
die Butter,butter,Goethe A2,Möchtest du Butter aufs Brot oder nur Käse?,,tereyağı
besichtigen,"to visit, tour",Goethe A2,Ich möchte gern das Schloss besichtigen.,,"gezmek, ziyaret etmek"
besonders,especially,Goethe A2,Dieses Angebot ist besonders günstig.,,özellikle
bestätigen,to confirm,Goethe A2,"Ich kann bestätigen, dass er hier war.",,onaylamak
bestehen,"to pass (exam), consist of",Goethe A2,Ich habe die Prüfung bestanden!,,"geçmek (sınav), oluşmak"
bestellen,to order,Goethe A2,Wir möchten bitte bestellen.,,sipariş etmek
der Besuch,visit,Goethe A2,Wir bekommen am Wochenende Besuch.,,ziyaret
besuchen,to visit,Goethe A2,Darf ich dich mal besuchen?,,ziyaret etmek
das Bett,bed,Goethe A2,Sie ist krank und muss heute im Bett bleiben.,,yatak
sich bewerben,to apply (for a job),Goethe A2,Ich möchte mich um diese Stelle bewerben.,,başvurmak
die Bewerbung,application,Goethe A2,Kannst du mir bei meiner Bewerbung helfen?,,başvuru
bewölkt,cloudy,Goethe A2,Heute ist es bewölkt.,,bulutlu
die Wolke,cloud,Goethe A2,Es gibt viele Wolken am Himmel.,,bulut
bezahlen,to pay,Goethe A2,Wo kann ich bezahlen?,,ödemek
die Bibliothek,library,Goethe A2,Sie lernt jeden Tag in der Bibliothek.,,kütüphane
das Bier,beer,Goethe A2,"Noch ein Bier, bitte.",,bira
das Bild,picture,Goethe A2,Hast du ein Bild von deinem Sohn?,,resim
billig,cheap,Goethe A2,Das ist aber billig!,,ucuz
die Birne,pear,Goethe A2,"Ein Kilo Birnen, bitte!",,armut
bis,until,Goethe A2,Ich fahre nur bis Stuttgart.,,-e kadar
bisschen,a little (bit),Goethe A2,Ich spreche ein bisschen Französisch.,,biraz
bitte,please,Goethe A2,Eine Tasse Kaffee bitte!,,lütfen
die Bitte,request,Goethe A2,Ich habe noch eine Bitte.,,rica
bitten,"to ask, request",Goethe A2,Darf ich Sie um etwas bitten?,,rica etmek
bitter,bitter,Goethe A2,Kaffee ohne Zucker schmeckt bitter.,,acı (tat)
das Blatt,"leaf, sheet",Goethe A2,Haben Sie ein Blatt Papier für mich?,,"yaprak, sayfa"
das Datum,date,Goethe A2,Welches Datum haben wir heute?,,tarih
dauern,"to last, take (time)",Goethe A2,Wie lange dauert die Pause?,,sürmek (zaman)
denken,to think,Goethe A2,"Ich denke, du hast recht.",,düşünmek
denn,because,Goethe A2,"Ich kann nicht kommen, denn ich bin krank.",,çünkü
deshalb,therefore,Goethe A2,Ich bin krank. Deshalb komme ich nicht.,,bu yüzden
deutlich,clear(ly),Goethe A2,Sprechen Sie bitte deutlich!,,"açık, net"
dick,"thick, fat",Goethe A2,Ich bin zu dick. Ich muss weniger essen.,,"kalın, şişman"
das Ding,thing,Goethe A2,Gib mir bitte mal das Ding da drüben!,,şey
direkt,direct(ly),Goethe A2,Gibt es keinen direkten Zug nach Hamburg?,,doğrudan
die Disco,disco,Goethe A2,Wir gehen heute Abend in die Disco.,,disko
diskutieren,to discuss,Goethe A2,Ich möchte das mit meinen Kollegen diskutieren.,,tartışmak
doch,"yet, but / yes (contradicting)",Goethe A2,"Hast du keinen Hunger? – Doch, ich bin sehr hungrig.",,ama / evet (ama)
das Doppelzimmer,double room,Goethe A2,Möchten Sie ein Doppelzimmer oder ein Einzelzimmer?,,çift kişilik oda
das Dorf,village,Goethe A2,Meine Familie lebt in einem Dorf.,,köy
dort,there,Goethe A2,Dort ist unser Haus.,,orada
draußen,outside,Goethe A2,Wollen wir draußen sitzen?,,dışarıda
dringend,urgent(ly),Goethe A2,Bitte kommen Sie schnell. Es ist dringend.,,acil
drinnen,inside,Goethe A2,Wollen Sie drinnen oder draußen sitzen?,,içeride
drüben,over there,Goethe A2,Da drüben ist die Haltestelle.,,karşıda
drücken,"to press, push",Goethe A2,"An dieser Tür musst du drücken, nicht ziehen.",,"basmak, itmek"
das Café,café,Goethe A2,Kommst du mit ins Café?,,kafe
die Cafeteria,cafeteria,Goethe A2,Ich gehe jetzt in die Cafeteria.,,kafeterya
chatten,to chat (online),Goethe A2,Luis chattet gern mit seinen Freunden im Internet.,,sohbet etmek (internette)
der Chef,boss,Goethe A2,Wir haben eine neue Chefin.,,patron
der Club,club,Goethe A2,Gibt es hier einen Tennis-Club?,,kulüp
der Comic,comic book,Goethe A2,Mein Sohn liest immer nur Comics.,,çizgi roman
der Computer,computer,Goethe A2,Wann bekommst du deinen neuen Computer?,,bilgisayar
die Creme,cream,Goethe A2,Ich suche eine Creme für die Hände.,,krem
da,there,Goethe A2,Ist Herr Klein schon da?,,orada
dabei sein,"to be present, included",Goethe A2,"Schön, dass du da bist. Ist deine Familie auch dabei?",,orada/dahil olmak
dafür/dagegen sein,to be for/against,Goethe A2,Ich bin dafür/dagegen.,,lehinde/aleyhinde olmak
damals,back then,Goethe A2,Aber damals hatte ich kein Geld.,,o zamanlar
die Dame,lady,Goethe A2,"Sehr geehrte Damen und Herren,",,hanımefendi
daneben,next to it,Goethe A2,Daneben ist die Bank.,,"yanında, bitişiğinde"
der Dank,thanks,Goethe A2,Vielen Dank!,,teşekkür
danke,thank you,Goethe A2,Soll ich Ihnen helfen? – Ja danke!,,teşekkürler
danken,to thank,Goethe A2,Ich danke Ihnen für die Einladung.,,teşekkür etmek
dann,then,Goethe A2,"Ich muss noch schnell zur Post, dann komme ich.",,sonra
dass,that (conj.),Goethe A2,"Ich finde es super, dass du mich besuchst.",,"ki, -dığı"
die Datei,file (computer),Goethe A2,Wo hast du die Datei gespeichert?,,dosya
das Einkaufszentrum,shopping center,Goethe A2,Kommst du morgen mit ins Einkaufszentrum?,,alışveriş merkezi
einladen,to invite,Goethe A2,Darf ich Sie zu einem Kaffee einladen?,,davet etmek
die Einladung,invitation,Goethe A2,Danke für die Einladung zu deinem Geburtstag!,,davet
einmal,once,Goethe A2,Warst du schon einmal in Paris?,,bir kere
einpacken,"to pack, wrap",Goethe A2,Soll ich Ihnen das als Geschenk einpacken?,,paketlemek
einsteigen,"to board, get in",Goethe A2,"Schnell, steig ein, der Zug fährt gleich ab.",,binmek (araca)
sich eintragen,"to register, sign in",Goethe A2,Tragen Sie sich bitte in diese Liste ein!,,kaydolmak (listeye)
der Eintritt,"entry, admission",Goethe A2,Der Eintritt kostet fünf Euro.,,giriş ücreti
einverstanden sein,to agree,Goethe A2,"Bist du einverstanden, wenn wir bald nach Hause gehen?",,razı olmak
einzel-,"single, individual",Goethe A2,Könnt ihr bitte einzeln sprechen?,,"tek, bireysel"
einziehen,to move in,Goethe A2,Wann können wir in die Wohnung einziehen?,,taşınmak (içine)
das Eis,ice cream / ice,Goethe A2,Möchtest du auch ein Eis?,,dondurma / buz
die E-Mail,email,Goethe A2,Ich schreibe Ihnen eine E-Mail.,,e-posta
der Empfänger,recipient,Goethe A2,"Auf dem Brief steht dein Name, also bist du der Empfänger.",,alıcı
empfehlen,to recommend,Goethe A2,Welchen Wein können Sie mir empfehlen?,,tavsiye etmek
das Ende,end,Goethe A2,Sie wohnt am Ende der Straße.,,son
enden,to end,Goethe A2,Die Straße endet hier.,,bitmek
endlich,finally,Goethe A2,Endlich bist du da!,,sonunda
eng,"tight, narrow",Goethe A2,Diese Hose ist zu eng.,,dar
sich entschuldigen,to apologize,Goethe A2,Ich möchte mich bei dir entschuldigen.,,özür dilemek
die Entschuldigung,"apology, excuse me",Goethe A2,"Oh, Entschuldigung! – Macht nichts.",,özür
drucken,to print,Goethe A2,Wähle einfach „Datei drucken“!,,yazdırmak
der Drucker,printer,Goethe A2,Mein Drucker ist kaputt.,,yazıcı
dumm,stupid,Goethe A2,Ich finde den Film dumm.,,aptal
dunkel,dark,Goethe A2,Um sechs Uhr ist es schon dunkel.,,karanlık
dünn,thin,Goethe A2,Das Buch ist sehr dünn.,,"ince, zayıf"
durch,through,Goethe A2,Am besten gehen Sie durch die Tengstraße.,,"içinden, aracılığıyla"
dürfen,to be allowed to,Goethe A2,Sie dürfen hier nicht parken.,,izinli olmak
der Durst,thirst,Goethe A2,Hast du etwas zu trinken? Ich habe großen Durst.,,susuzluk
die Dusche,shower,Goethe A2,Unsere Wohnung hat nur eine Dusche.,,duş
sich duschen,to shower,Goethe A2,"Ich bade nicht so gern, ich dusche lieber.",,duş almak
das E-Book,e-book,Goethe A2,Liest du lieber E-Books oder Bücher aus Papier?,,e-kitap
echt,real(ly),Goethe A2,Der Film ist echt gut.,,"gerçek, gerçekten"
die Ecke,corner,Goethe A2,Gehen Sie an der nächsten Ecke links.,,köşe
egal,doesn't matter,Goethe A2,Das ist mir egal.,,fark etmez
die Ehefrau,wife,Goethe A2,Das ist mein Ehemann/meine Ehefrau.,,eş (kadın)
der Ehemann,husband,Goethe A2,Das ist mein Ehemann/meine Ehefrau.,,eş (erkek)
das Ei,egg,Goethe A2,Möchtest du ein Ei zum Frühstück?,,yumurta
eigen-,own,Goethe A2,Nicht alle Kinder haben ein eigenes Zimmer.,,kendi
eigentlich,actually,Goethe A2,Kennst du eigentlich Susanne?,,aslında
eilig,"in a hurry, urgent",Goethe A2,Hast du es eilig?,,acele
einfach,simple / one-way,Goethe A2,Die Prüfung ist ganz einfach.,,basit / tek yön
der Eingang,entrance,Goethe A2,Der Eingang ist um die Ecke.,,giriş
einig-,some,Goethe A2,In diesem Text sind einige Fehler.,,bazı
einkaufen,to shop,Goethe A2,Ich muss noch für morgen einkaufen.,,alışveriş yapmak
falsch,wrong,Goethe A2,Die Lösung ist falsch.,,yanlış
die Familie,family,Goethe A2,Meine Familie lebt in Spanien.,,aile
der Familienname,surname,Goethe A2,Mein Familienname ist González.,,soyadı
der Fan,fan (enthusiast),Goethe A2,Er ist ein großer Fußballfan.,,hayran
fantastisch,fantastic,Goethe A2,Dein neues Kleid sieht fantastisch aus!,,"fantastik, harika"
die Farbe,color,Goethe A2,Was ist deine Lieblingsfarbe?,,renk
fast,almost,Goethe A2,Ich habe fast alles verstanden.,,neredeyse
faul,lazy,Goethe A2,Heute sind wir faul.,,tembel
fehlen,"to be missing, absent",Goethe A2,Herr Müller fehlt schon seit drei Tagen.,,"eksik olmak, gelmemek"
der Fehler,mistake,Goethe A2,Diesen Fehler mache ich immer wieder.,,hata
die Feier,celebration,Goethe A2,Die Feier war sehr schön.,,kutlama
der Feiertag,public holiday,Goethe A2,Am ersten Mai ist ein Feiertag.,,resmi tatil
feiern,to celebrate,Goethe A2,Wir feiern heute meinen Geburtstag.,,kutlamak
das Fenster,window,Goethe A2,Kannst du bitte das Fenster öffnen?,,pencere
die Ferien,"vacation, holidays",Goethe A2,Bald haben wir Ferien.,,tatil (okul)
fernsehen,to watch TV,Goethe A2,Lass uns heute Abend mal fernsehen.,,televizyon izlemek
der Fernseher,television set,Goethe A2,Der Fernseher ist kaputt.,,televizyon
fertig sein,"to be ready, finished",Goethe A2,Das Essen ist gleich fertig.,,hazır olmak
das Fest,"festival, party",Goethe A2,Am Wochenende feiern wir ein Fest.,,"şenlik, kutlama"
das Festival,festival,Goethe A2,Am Wochenende ist in der Stadt ein Musik-Festival.,,festival
fett,fatty,Goethe A2,Die Wurst ist mir zu fett.,,yağlı
das Fieber,fever,Goethe A2,Sie hat hohes Fieber.,,ateş (hastalık)
der Film,movie,Goethe A2,Ich möchte gern diesen Film sehen.,,film
finden,to find / think,Goethe A2,"Ich finde es nicht gut, dass du so viel arbeitest.",,bulmak / düşünmek
die Firma,company,Goethe A2,Er arbeitet jetzt bei einer anderen Firma.,,şirket
der Fisch,fish,Goethe A2,Fisch mag ich lieber als Fleisch.,,balık
fit sein,to be fit,Goethe A2,Tom will fit sein. Er geht jeden Tag ins Fitnessstudio.,,formda olmak
das Erdgeschoss,ground floor,Goethe A2,Ich wohne im Erdgeschoss.,,zemin kat
die Erfahrung,experience,Goethe A2,Ich habe zehn Jahre Erfahrung in diesem Beruf.,,deneyim
sich erinnern,to remember,Goethe A2,Erinnerst du dich an José?,,hatırlamak
erkältet sein,to have a cold,Goethe A2,Lisa ist erkältet.,,soğuk algınlığı olmak
erklären,to explain,Goethe A2,Kannst du mir das erklären?,,açıklamak
erlauben,to allow,Goethe A2,"Ich habe ihnen erlaubt, den Film zu sehen.",,izin vermek
erlaubt sein,to be allowed,Goethe A2,Parken ist hier nicht erlaubt.,,izinli olmak
die Erlaubnis,permission,Goethe A2,Haben Sie eine Arbeitserlaubnis?,,izin
die Ermäßigung,discount,Goethe A2,Für Schüler gibt es eine Ermäßigung.,,indirim
erreichen,to reach,Goethe A2,"Wenn wir uns beeilen, erreichen wir noch den Zug.",,"ulaşmak, yetişmek"
erst,"only, not until",Goethe A2,Wir können erst morgen kommen.,,"ancak, henüz"
der Erwachsene,adult,Goethe A2,Dieser Film ist nur für Erwachsene.,,yetişkin
erzählen,"to tell, narrate",Goethe A2,Erzählst du mir eine Geschichte?,,anlatmak
essen,to eat,Goethe A2,Was gibt es zu essen?,,yemek
das Essen,"food, meal",Goethe A2,Das Essen in der Cafeteria ist meistens ganz gut.,,yemek
etwas,something,Goethe A2,Ich muss dir etwas erzählen!,,bir şey
das Fach,(school) subject,Goethe A2,Welches Fach magst du in der Schule am liebsten?,,ders (okul)
abfahren,to depart,Goethe A2,Der Zug fährt jetzt ab.,,kalkmak (araç)
die Abfahrt,departure,Goethe A2,Wir haben noch zwanzig Minuten bis zur Abfahrt.,,kalkış
die Fahrkarte,ticket (transport),Goethe A2,Hast du schon eine Fahrkarte?,,bilet (ulaşım)
der Fahrplan,timetable,Goethe A2,Ist das der neue Fahrplan?,,sefer tarifesi
das Fahrrad,bicycle,Goethe A2,"Wenn es nicht regnet, fahre ich mit dem Fahrrad.",,bisiklet
fallen,to fall,Goethe A2,"Pass auf, das Glas fällt gleich vom Tisch.",,düşmek
früher,"earlier, in the past",Goethe A2,Früher habe ich in Berlin gewohnt.,,eskiden
das Frühstück,breakfast,Goethe A2,Möchtest du ein Ei zum Frühstück?,,kahvaltı
frühstücken,to have breakfast,Goethe A2,Ich frühstücke immer um 9:00 Uhr.,,kahvaltı yapmak
