de,en,cat,ex,pos,tr
einen Termin vereinbaren,to arrange/schedule an appointment,Telefon & Termine,Möchten Sie gleich einen Termin vereinbaren?,,randevu ayarlamak
einen Termin verschieben,to reschedule an appointment,Telefon & Termine,Können wir den Termin auf nächste Woche verschieben?,,randevuyu ertelemek
einen Termin absagen,to cancel an appointment,Telefon & Termine,Ich muss den Termin leider absagen.,,randevuyu iptal etmek
Wann passt es Ihnen?,When does it suit you?,Telefon & Termine,Wann passt es Ihnen diese Woche am besten?,,Size ne zaman uyar?
Das passt mir gut.,That works for me.,Telefon & Termine,Donnerstagnachmittag passt mir gut.,,Bu bana uyar.
die Erreichbarkeit,availability (to be reached),Telefon & Termine,Wie sieht Ihre Erreichbarkeit diese Woche aus?,,ulaşılabilirlik
die Sprechstunde,"office hours, consultation hours",Telefon & Termine,Die Sprechstunde ist dienstags von neun bis elf.,,görüşme saatleri
sich verwählen,to dial the wrong number,Telefon & Termine,"Entschuldigung, ich habe mich verwählt.",,yanlış numara çevirmek
die Leitung ist besetzt,the line is busy,Telefon & Termine,"Tut mir leid, die Leitung war besetzt.",,hat meşgul
auflegen,to hang up (phone),Telefon & Termine,Bitte legen Sie noch nicht auf.,,telefonu kapatmak
eine Nachricht hinterlassen,to leave a message,Telefon & Termine,Möchten Sie eine Nachricht hinterlassen?,,mesaj bırakmak
anderthalb,one and a half,"Zahlen, Mengen & Masseinheiten",Das dauert anderthalb Stunden.,,bir buçuk
ein Dutzend,a dozen,"Zahlen, Mengen & Masseinheiten",Ich brauche ein Dutzend Eier.,,bir düzine
ein Kilo,a kilogram,"Zahlen, Mengen & Masseinheiten",Ich hätte gern ein Kilo Äpfel.,,bir kilo
ein Gramm,a gram,"Zahlen, Mengen & Masseinheiten","Zweihundert Gramm Käse, bitte.",,bir gram
ein Liter,a liter,"Zahlen, Mengen & Masseinheiten",Ein Liter Milch kostet ungefähr zwei Franken.,,bir litre
ein Meter,a meter,"Zahlen, Mengen & Masseinheiten",Der Tisch ist etwa zwei Meter lang.,,bir metre
ein Zentimeter,a centimeter,"Zahlen, Mengen & Masseinheiten",Das Regal ist dreißig Zentimeter breit.,,bir santimetre
ein Stück,a piece,"Zahlen, Mengen & Masseinheiten",Ich nehme noch ein Stück Kuchen.,,bir parça
ein Paar,a pair,"Zahlen, Mengen & Masseinheiten",Ich brauche ein neues Paar Schuhe.,,bir çift
die Hälfte,half (the amount),"Zahlen, Mengen & Masseinheiten",Ich nehme nur die Hälfte davon.,,yarısı
ein Viertel,a quarter,"Zahlen, Mengen & Masseinheiten",Es ist Viertel nach drei.,,çeyrek
ungefähr,approximately,"Zahlen, Mengen & Masseinheiten",Das dauert ungefähr zwanzig Minuten.,,yaklaşık
circa (ca.),"approximately, circa","Zahlen, Mengen & Masseinheiten",Das kostet circa fünfzig Franken.,,"yaklaşık, takriben"
mindestens,at least,"Zahlen, Mengen & Masseinheiten",Wir brauchen mindestens drei Personen dafür.,,en az
höchstens,at most,"Zahlen, Mengen & Masseinheiten",Das dauert höchstens eine Stunde.,,en fazla
die Menge,"quantity, amount","Zahlen, Mengen & Masseinheiten",Welche Menge brauchen Sie?,,miktar
die Anzahl,"number, quantity (countable)","Zahlen, Mengen & Masseinheiten",Die Anzahl der Teilnehmer ist begrenzt.,,"sayı, adet"
doppelt,double,"Zahlen, Mengen & Masseinheiten",Das kostet doppelt so viel wie letztes Jahr.,,"iki katı, çift"
die Packung,"package, pack","Zahlen, Mengen & Masseinheiten","Eine Packung Reis, bitte.",,paket
die Dose,"can, tin","Zahlen, Mengen & Masseinheiten",Eine Dose Tomaten reicht für die Sauce.,,"konserve kutusu, teneke kutu"
Wie geht es Ihnen?,How are you? (formal),Körpersprache & Höflichkeit,"Guten Tag, wie geht es Ihnen heute?",,Nasılsınız? (resmi)
"Mir geht es gut, danke.","I'm doing well, thank you.",Körpersprache & Höflichkeit,"Mir geht es gut, danke der Nachfrage.",,"İyiyim, teşekkür ederim."
Wie war Ihr Wochenende?,How was your weekend?,Körpersprache & Höflichkeit,"Und, wie war Ihr Wochenende?",,Hafta sonunuz nasıldı?
die Höflichkeit,politeness,Körpersprache & Höflichkeit,Höflichkeit kommt bei Kunden immer gut an.,,nezaket
höflich,polite,Körpersprache & Höflichkeit,Er ist immer sehr höflich zu allen.,,"nazik, kibar"
der Blickkontakt,eye contact,Körpersprache & Höflichkeit,Halten Sie beim Sprechen Blickkontakt.,,göz teması
lächeln,to smile,Körpersprache & Höflichkeit,Ein freundliches Lächeln hilft im Kundenkontakt sehr.,,gülümsemek
die Geste,gesture,Körpersprache & Höflichkeit,Eine kleine Geste reicht oft schon.,,jest
nicken,to nod,Körpersprache & Höflichkeit,Sie nickte zustimmend.,,baş sallamak (onay)
die Begrüßung,greeting,Körpersprache & Höflichkeit,Eine freundliche Begrüßung macht einen guten ersten Eindruck.,,selamlama
sich vorstellen,to introduce oneself,Körpersprache & Höflichkeit,Darf ich mich kurz vorstellen?,,kendini tanıtmak
das Kompliment,compliment,Körpersprache & Höflichkeit,Vielen Dank für das Kompliment.,,iltifat
"Entschuldigung, dürfte ich kurz stören?","Excuse me, may I briefly interrupt?",Körpersprache & Höflichkeit,"Entschuldigung, dürfte ich Sie kurz stören?",,"Affedersiniz, kısaca rahatsız edebilir miyim?"
Es tut mir leid.,I'm sorry.,Körpersprache & Höflichkeit,"Es tut mir leid, das war mein Fehler.",,Özür dilerim.
Das macht nichts.,"It's fine, no worries.",Körpersprache & Höflichkeit,"Das macht nichts, kein Problem.",,"Önemli değil, sorun yok."
sich Zeit nehmen für jemanden,to take time for someone,Körpersprache & Höflichkeit,Nehmen Sie sich ruhig Zeit für Ihre Entscheidung.,,birine zaman ayırmak
den Mantel aufhalten,to hold the coat (helping someone),Körpersprache & Höflichkeit,Darf ich Ihnen den Mantel abnehmen?,,paltoyu tutmak (yardım ederek)
die Tür aufhalten,to hold the door open,Körpersprache & Höflichkeit,Er hielt mir freundlich die Tür auf.,,kapıyı tutmak
Aufmerksamkeit schenken,to give attention,Körpersprache & Höflichkeit,Schenken Sie dem Kunden volle Aufmerksamkeit.,,"dikkat göstermek, ilgi göstermek"
der Smalltalk,small talk,Körpersprache & Höflichkeit,Ein bisschen Smalltalk lockert das Gespräch auf.,,"hoşbeş, sohbet"
