de,en,cat,ex,pos,tr
alle,all,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,"hepsi, tüm"
alles,everything,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,her şey
etwas,something,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,bir şey
nichts,nothing,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,hiçbir şey
man,one (impersonal),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,insan (genel özne)
jemand,someone,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,biri
niemand,no one,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,hiç kimse
wer,who,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,kim
was,what,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,ne
wo,where,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,nerede
wann,when,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,ne zaman
warum,why,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,neden
wie,how,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,nasıl
und,and,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,ve
oder,or,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,veya
aber,but,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,ama
denn,"because, for","Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,çünkü
doch,"yet, but","Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"yine de, ama"
sondern,but rather,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"aksine, bilakis"
dass,that (conj.),"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"ki, -dığı (bağlaç)"
ob,"whether, if","Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"-ip -ipmediği, eğer"
wenn,"if, when","Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"eğer, -dığında"
weil,because,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,çünkü
als,"as, when, than","Funktionswörter (Artikel, Pronomen, Präpositionen)",,conj,"iken, olarak, -den (kıyas)"
in,in,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,içinde
an,"at, on","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"-de, üzerinde"
auf,"on, upon","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,üzerinde
für,for,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,için
mit,with,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,ile
von,"from, of","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"-den, -in"
zu,to,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"-e, -a"
bei,"at, near, with","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"yanında, sırasında"
nach,"after, to","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"sonra, -e doğru"
aus,"out of, from","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,-den (içinden)
über,"over, about","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"üzerinde, hakkında"
unter,under,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,altında
durch,through,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"aracılığıyla, içinden"
gegen,against,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,karşı
ohne,without,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,-siz
um,"around, at (time)","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"etrafında, saat (zaman)"
zwischen,between,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,arasında
neben,next to,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,yanında
vor,"before, in front of","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"önce, önünde"
hinter,behind,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,arkasında
seit,"since, for","Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,-den beri
bis,until,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,-e kadar
trotz,despite,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,-e rağmen
während,during,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,sırasında
wegen,because of,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,"yüzünden, nedeniyle"
innerhalb,within,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,içinde (zaman/yer)
außerhalb,outside of,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,prep,dışında
nicht,not,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,değil
kein,"no, not a","Funktionswörter (Artikel, Pronomen, Präpositionen)",,pron,"hiç, hiçbir"
auch,also,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"de, da"
nur,only,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,sadece
schon,already,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"zaten, çoktan"
noch,"still, yet","Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"hâlâ, henüz"
sehr,very,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,çok
ganz,"quite, whole","Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"oldukça, tamamen"
immer,always,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,her zaman
nie,never,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,asla
oft,often,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,sık sık
manchmal,sometimes,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,bazen
hier,here,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,burada
dort,there,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,orada
da,"there, since","Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"orada, çünkü"
jetzt,now,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,şimdi
dann,then,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"sonra, o zaman"
heute,today,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,bugün
morgen,tomorrow,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,yarın
gestern,yesterday,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,dün
bald,soon,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,yakında
vielleicht,maybe,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,belki
wirklich,really,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,gerçekten
eigentlich,actually,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,aslında
genau,exactly,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,tam olarak
besonders,especially,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,özellikle
ziemlich,"fairly, rather","Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,oldukça
fast,almost,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,neredeyse
gerade,"just, right now","Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"tam şu anda, az önce"
zusammen,together,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,birlikte
wieder,again,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,tekrar
zurück,back,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,geri
weg,away,"Funktionswörter (Artikel, Pronomen, Präpositionen)",,adv,"uzakta, gitmiş"
sein,to be,Top-Verben,,v,olmak
haben,to have,Top-Verben,,v,sahip olmak
werden,to become,Top-Verben,,v,olmak (değişim)
können,"can, to be able to",Top-Verben,,v,-ebilmek
müssen,"must, to have to",Top-Verben,,v,zorunda olmak
sollen,"should, to be supposed to",Top-Verben,,v,gerekmek (öneri/görev)
wollen,to want,Top-Verben,,v,istemek
dürfen,to be allowed to,Top-Verben,,v,izinli olmak
mögen,to like,Top-Verben,,v,hoşlanmak
machen,"to make, do",Top-Verben,,v,yapmak
tun,to do,Top-Verben,,v,yapmak
gehen,to go,Top-Verben,,v,gitmek
kommen,to come,Top-Verben,,v,gelmek
sehen,to see,Top-Verben,,v,görmek
wissen,to know (fact),Top-Verben,,v,bilmek (bilgi)
sagen,to say,Top-Verben,,v,söylemek
geben,to give,Top-Verben,,v,vermek
nehmen,to take,Top-Verben,,v,almak
finden,to find,Top-Verben,,v,bulmak
denken,to think,Top-Verben,,v,düşünmek
glauben,to believe,Top-Verben,,v,inanmak
stehen,to stand,Top-Verben,,v,ayakta durmak
lassen,"to let, leave",Top-Verben,,v,"bırakmak, izin vermek"
bleiben,to stay,Top-Verben,,v,kalmak
liegen,"to lie, be located",Top-Verben,,v,"yatmak, bulunmak"
heißen,to be called,Top-Verben,,v,adı olmak
sprechen,to speak,Top-Verben,,v,konuşmak
fragen,to ask,Top-Verben,,v,sormak
antworten,to answer,Top-Verben,,v,cevap vermek
brauchen,to need,Top-Verben,,v,ihtiyacı olmak
arbeiten,to work,Top-Verben,,v,çalışmak
spielen,to play,Top-Verben,,v,oynamak
leben,to live,Top-Verben,,v,yaşamak
wohnen,"to reside, live",Top-Verben,,v,"oturmak, ikamet etmek"
fühlen,to feel,Top-Verben,,v,hissetmek
hören,to hear,Top-Verben,,v,duymak
lesen,to read,Top-Verben,,v,okumak
schreiben,to write,Top-Verben,,v,yazmak
lernen,to learn,Top-Verben,,v,öğrenmek
verstehen,to understand,Top-Verben,,v,anlamak
kennen,to know (person/thing),Top-Verben,,v,tanımak
zeigen,to show,Top-Verben,,v,göstermek
bringen,to bring,Top-Verben,,v,getirmek
holen,"to fetch, get",Top-Verben,,v,"getirmek, almaya gitmek"
setzen,"to set, place",Top-Verben,,v,"oturtmak, koymak"
legen,"to lay, put",Top-Verben,,v,yatay koymak
stellen,"to put, place",Top-Verben,,v,dikey koymak
halten,to hold,Top-Verben,,v,tutmak
laufen,"to run, walk",Top-Verben,,v,"koşmak, yürümek"
fahren,"to drive, travel",Top-Verben,,v,"sürmek, gitmek (araçla)"
fliegen,to fly,Top-Verben,,v,uçmak
reisen,to travel,Top-Verben,,v,seyahat etmek
ankommen,to arrive,Top-Verben,,v,varmak
verlassen,to leave (a place),Top-Verben,,v,"terk etmek, ayrılmak"
öffnen,to open,Top-Verben,,v,açmak
schließen,to close,Top-Verben,,v,kapatmak
beginnen,to begin,Top-Verben,,v,başlamak
anfangen,"to begin, start",Top-Verben,,v,başlamak
enden,to end,Top-Verben,,v,bitmek
aufhören,"to stop, cease",Top-Verben,,v,"durmak, bırakmak"
warten,to wait,Top-Verben,,v,beklemek
suchen,to look for,Top-Verben,,v,aramak
kaufen,to buy,Top-Verben,,v,satın almak
verkaufen,to sell,Top-Verben,,v,satmak
bezahlen,to pay,Top-Verben,,v,ödemek
kosten,to cost,Top-Verben,,v,mal olmak
essen,to eat,Top-Verben,,v,yemek
trinken,to drink,Top-Verben,,v,içmek
kochen,to cook,Top-Verben,,v,pişirmek
schlafen,to sleep,Top-Verben,,v,uyumak
aufwachen,to wake up,Top-Verben,,v,uyanmak
aufstehen,to get up,Top-Verben,,v,kalkmak
sitzen,to sit,Top-Verben,,v,oturmak
treffen,to meet,Top-Verben,,v,buluşmak
besuchen,to visit,Top-Verben,,v,ziyaret etmek
erzählen,"to tell, narrate",Top-Verben,,v,anlatmak
erklären,to explain,Top-Verben,,v,açıklamak
helfen,to help,Top-Verben,,v,yardım etmek
danken,to thank,Top-Verben,,v,teşekkür etmek
lieben,to love,Top-Verben,,v,sevmek
mögen (gern),to like,Top-Verben,,v,hoşlanmak
hassen,to hate,Top-Verben,,v,nefret etmek
lachen,to laugh,Top-Verben,,v,gülmek
weinen,to cry,Top-Verben,,v,ağlamak
lächeln,to smile,Top-Verben,,v,gülümsemek
freuen (sich),to be glad,Top-Verben,,v,sevinmek
ärgern (sich),to be annoyed,Top-Verben,,v,sinirlenmek
entschuldigen (sich),to apologize,Top-Verben,,v,özür dilemek
vergessen,to forget,Top-Verben,,v,unutmak
erinnern (sich),to remember,Top-Verben,,v,hatırlamak
benutzen,to use,Top-Verben,,v,kullanmak
verwenden,"to use, employ",Top-Verben,,v,kullanmak
brauchen,to need,Top-Verben,,v,ihtiyacı olmak
ändern,to change,Top-Verben,,v,değiştirmek
wechseln,"to change, switch",Top-Verben,,v,değiştirmek (yer/durum)
bauen,to build,Top-Verben,,v,inşa etmek
zerstören,to destroy,Top-Verben,,v,"yıkmak, yok etmek"
reparieren,to repair,Top-Verben,,v,tamir etmek
schaffen,"to manage, create",Top-Verben,,v,"başarmak, yaratmak"
versuchen,to try,Top-Verben,,v,denemek
gelingen,to succeed,Top-Verben,,v,başarılı olmak
schaffen es,to manage to,Top-Verben,,v,başarmak
entscheiden,to decide,Top-Verben,,v,karar vermek
wählen,"to choose, vote",Top-Verben,,v,"seçmek, oy vermek"
planen,to plan,Top-Verben,,v,planlamak
organisieren,to organize,Top-Verben,,v,organize etmek
vorbereiten,to prepare,Top-Verben,,v,hazırlamak
erwarten,to expect,Top-Verben,,v,beklemek
hoffen,to hope,Top-Verben,,v,ummak
wünschen,to wish,Top-Verben,,v,dilemek
brauchen,to need,Top-Verben,,v,ihtiyacı olmak
verlieren,to lose,Top-Verben,,v,kaybetmek
gewinnen,to win,Top-Verben,,v,kazanmak
verlieren (sich),to get lost,Top-Verben,,v,kaybolmak
verstecken (sich),to hide,Top-Verben,,v,saklanmak
zeigen,to show,Top-Verben,,v,göstermek
entdecken,to discover,Top-Verben,,v,keşfetmek
erfinden,to invent,Top-Verben,,v,icat etmek
untersuchen,to investigate,Top-Verben,,v,incelemek
prüfen,"to check, test",Top-Verben,,v,"kontrol etmek, test etmek"
kontrollieren,"to control, check",Top-Verben,,v,kontrol etmek
messen,to measure,Top-Verben,,v,ölçmek
zählen,to count,Top-Verben,,v,saymak
rechnen,to calculate,Top-Verben,,v,hesaplamak
schätzen,"to estimate, value",Top-Verben,,v,"tahmin etmek, değer vermek"
vergleichen,to compare,Top-Verben,,v,karşılaştırmak
unterscheiden,to distinguish,Top-Verben,,v,ayırt etmek
trennen,to separate,Top-Verben,,v,ayırmak
verbinden,to connect,Top-Verben,,v,bağlamak
mischen,to mix,Top-Verben,,v,karıştırmak
teilen,"to share, divide",Top-Verben,,v,"paylaşmak, bölmek"
sammeln,to collect,Top-Verben,,v,toplamak
wiederholen,to repeat,Top-Verben,,v,tekrarlamak
üben,to practice,Top-Verben,,v,alıştırma yapmak
trainieren,to train,Top-Verben,,v,antrenman yapmak
verbessern,to improve,Top-Verben,,v,"geliştirmek, iyileştirmek"
verschlechtern (sich),to worsen,Top-Verben,,v,kötüleşmek
wachsen,to grow,Top-Verben,,v,büyümek
sinken,"to sink, decrease",Top-Verben,,v,"azalmak, batmak"
steigen,"to rise, climb",Top-Verben,,v,"yükselmek, tırmanmak"
fallen,to fall,Top-Verben,,v,düşmek
springen,to jump,Top-Verben,,v,zıplamak
tanzen,to dance,Top-Verben,,v,dans etmek
singen,to sing,Top-Verben,,v,şarkı söylemek
malen,to paint,Top-Verben,,v,resim yapmak (boya ile)
zeichnen,to draw,Top-Verben,,v,çizmek
fotografieren,to photograph,Top-Verben,,v,fotoğraflamak
filmen,to film,Top-Verben,,v,film çekmek
drehen,"to turn, shoot (film)",Top-Verben,,v,"döndürmek, çekim yapmak"
rollen,to roll,Top-Verben,,v,yuvarlanmak
ziehen,to pull,Top-Verben,,v,çekmek
schieben,to push,Top-Verben,,v,itmek
drücken,to press,Top-Verben,,v,"basmak, sıkmak"
werfen,to throw,Top-Verben,,v,atmak
fangen,to catch,Top-Verben,,v,yakalamak
tragen,"to carry, wear",Top-Verben,,v,"taşımak, giymek"
heben,to lift,Top-Verben,,v,kaldırmak
senken,to lower,Top-Verben,,v,"alçaltmak, düşürmek"
packen,"to pack, grab",Top-Verben,,v,"paketlemek, kavramak"
räumen,"to clear, tidy",Top-Verben,,v,"toplamak, düzenlemek"
putzen,to clean,Top-Verben,,v,temizlemek
waschen,to wash,Top-Verben,,v,yıkamak
trocknen,to dry,Top-Verben,,v,kurutmak
reinigen,to clean,Top-Verben,,v,temizlemek
aufräumen,to tidy up,Top-Verben,,v,toparlamak
reparieren,"to fix, repair",Top-Verben,,v,tamir etmek
bauen,to build,Top-Verben,,v,inşa etmek
renovieren,to renovate,Top-Verben,,v,tadilat yapmak
anziehen (sich),to get dressed,Top-Verben,,v,giyinmek
ausziehen (sich),to undress,Top-Verben,,v,soyunmak
duschen,to shower,Top-Verben,,v,duş almak
baden,to bathe,Top-Verben,,v,banyo yapmak
rasieren (sich),to shave,Top-Verben,,v,tıraş olmak
kämmen (sich),to comb,Top-Verben,,v,saçını taramak
schminken (sich),to put on makeup,Top-Verben,,v,makyaj yapmak
krank sein,to be sick,Top-Verben,,v,hasta olmak
heilen,to heal,Top-Verben,,v,iyileştirmek
operieren,to operate,Top-Verben,,v,ameliyat etmek
verletzen (sich),to injure,Top-Verben,,v,yaralanmak
schmerzen,to hurt,Top-Verben,,v,ağrımak
husten,to cough,Top-Verben,,v,öksürmek
niesen,to sneeze,Top-Verben,,v,hapşırmak
atmen,to breathe,Top-Verben,,v,nefes almak
sterben,to die,Top-Verben,,v,ölmek
geboren werden,to be born,Top-Verben,,v,doğmak
heiraten,to marry,Top-Verben,,v,evlenmek
scheiden lassen (sich),to get divorced,Top-Verben,,v,boşanmak
kennenlernen,to get to know,Top-Verben,,v,tanışmak
verlieben (sich),to fall in love,Top-Verben,,v,aşık olmak
küssen,to kiss,Top-Verben,,v,öpmek
umarmen,to hug,Top-Verben,,v,sarılmak
streiten,to argue,Top-Verben,,v,"tartışmak, kavga etmek"
vertragen (sich),to get along,Top-Verben,,v,"anlaşmak, iyi geçinmek"
versöhnen (sich),to reconcile,Top-Verben,,v,barışmak
lügen,to lie,Top-Verben,,v,yalan söylemek
betrügen,"to deceive, cheat",Top-Verben,,v,"aldatmak, hile yapmak"
stehlen,to steal,Top-Verben,,v,çalmak
verstecken,to hide (something),Top-Verben,,v,saklamak (bir şeyi)
retten,"to save, rescue",Top-Verben,,v,kurtarmak
schützen,to protect,Top-Verben,,v,korumak
warnen,to warn,Top-Verben,,v,uyarmak
erschrecken,"to scare, startle",Top-Verben,,v,"korkutmak, irkilmek"
fürchten (sich),to fear,Top-Verben,,v,korkmak
vertrauen,to trust,Top-Verben,,v,güvenmek
zweifeln,to doubt,Top-Verben,,v,şüphe etmek
erlauben,to allow,Top-Verben,,v,izin vermek
verbieten,to forbid,Top-Verben,,v,yasaklamak
zwingen,to force,Top-Verben,,v,zorlamak
überzeugen,to convince,Top-Verben,,v,ikna etmek
vorschlagen,to suggest,Top-Verben,,v,önermek
empfehlen,to recommend,Top-Verben,,v,tavsiye etmek
raten,"to advise, guess",Top-Verben,,v,"tavsiye etmek, tahmin etmek"
warnen,to warn,Top-Verben,,v,uyarmak
informieren,to inform,Top-Verben,,v,bilgilendirmek
mitteilen,"to inform, notify",Top-Verben,,v,bildirmek
melden (sich),"to report, get in touch",Top-Verben,,v,"haber vermek, bildirmek"
anrufen,to call (phone),Top-Verben,,v,telefon etmek
telefonieren,to telephone,Top-Verben,,v,telefonla görüşmek
schicken,to send,Top-Verben,,v,göndermek
senden,"to send, broadcast",Top-Verben,,v,"göndermek, yayınlamak"
empfangen,to receive,Top-Verben,,v,"karşılamak, almak"
erhalten,"to receive, get",Top-Verben,,v,"almak, elde etmek"
bekommen,"to get, receive",Top-Verben,,v,"almak, elde etmek"
liefern,to deliver,Top-Verben,,v,teslim etmek
bestellen,to order,Top-Verben,,v,sipariş etmek
buchen,to book,Top-Verben,,v,rezervasyon yapmak (bilet vb.)
reservieren,to reserve,Top-Verben,,v,rezerve etmek
mieten,to rent,Top-Verben,,v,kiralamak
vermieten,to rent out,Top-Verben,,v,kiraya vermek
besitzen,to own,Top-Verben,,v,sahip olmak
gehören,to belong to,Top-Verben,,v,ait olmak
verdienen,to earn,Top-Verben,,v,kazanmak (para)
sparen,to save (money),Top-Verben,,v,biriktirmek (para)
ausgeben,to spend (money),Top-Verben,,v,harcamak (para)
investieren,to invest,Top-Verben,,v,yatırım yapmak
leihen,"to lend, borrow",Top-Verben,,v,ödünç vermek/almak
schulden,to owe,Top-Verben,,v,borçlu olmak
zahlen,to pay,Top-Verben,,v,ödemek
der Mensch,"human, person",Top-Nomen: Menschen & Beziehungen,,n,insan
die Person,person,Top-Nomen: Menschen & Beziehungen,,n,kişi
der Mann,man,Top-Nomen: Menschen & Beziehungen,,n,"adam, erkek"
die Frau,"woman, wife",Top-Nomen: Menschen & Beziehungen,,n,"kadın, eş"
das Kind,child,Top-Nomen: Menschen & Beziehungen,,n,çocuk
der Junge,boy,Top-Nomen: Menschen & Beziehungen,,n,erkek çocuk
das Mädchen,girl,Top-Nomen: Menschen & Beziehungen,,n,kız çocuk
der Freund,friend (m.),Top-Nomen: Menschen & Beziehungen,,n,erkek arkadaş
die Freundin,friend (f.),Top-Nomen: Menschen & Beziehungen,,n,kız arkadaş
die Familie,family,Top-Nomen: Menschen & Beziehungen,,n,aile
die Mutter,mother,Top-Nomen: Menschen & Beziehungen,,n,anne
der Vater,father,Top-Nomen: Menschen & Beziehungen,,n,baba
die Eltern,parents,Top-Nomen: Menschen & Beziehungen,,n,ebeveynler
der Bruder,brother,Top-Nomen: Menschen & Beziehungen,,n,erkek kardeş
die Schwester,sister,Top-Nomen: Menschen & Beziehungen,,n,kız kardeş
der Sohn,son,Top-Nomen: Menschen & Beziehungen,,n,oğul
die Tochter,daughter,Top-Nomen: Menschen & Beziehungen,,n,kız evlat
die Großmutter,grandmother,Top-Nomen: Menschen & Beziehungen,,n,büyükanne
der Großvater,grandfather,Top-Nomen: Menschen & Beziehungen,,n,büyükbaba
der Onkel,uncle,Top-Nomen: Menschen & Beziehungen,,n,"amca, dayı"
die Tante,aunt,Top-Nomen: Menschen & Beziehungen,,n,"teyze, hala"
der Cousin,cousin (m.),Top-Nomen: Menschen & Beziehungen,,n,kuzen (erkek)
die Kusine,cousin (f.),Top-Nomen: Menschen & Beziehungen,,n,kuzen (kız)
der Nachbar,neighbor (m.),Top-Nomen: Menschen & Beziehungen,,n,komşu (erkek)
die Nachbarin,neighbor (f.),Top-Nomen: Menschen & Beziehungen,,n,komşu (kadın)
der Kollege,colleague (m.),Top-Nomen: Menschen & Beziehungen,,n,meslektaş (erkek)
die Kollegin,colleague (f.),Top-Nomen: Menschen & Beziehungen,,n,meslektaş (kadın)
der Chef,boss (m.),Top-Nomen: Menschen & Beziehungen,,n,patron (erkek)
die Chefin,boss (f.),Top-Nomen: Menschen & Beziehungen,,n,patron (kadın)
der Lehrer,teacher (m.),Top-Nomen: Menschen & Beziehungen,,n,öğretmen (erkek)
die Lehrerin,teacher (f.),Top-Nomen: Menschen & Beziehungen,,n,öğretmen (kadın)
der Schüler,pupil (m.),Top-Nomen: Menschen & Beziehungen,,n,"öğrenci (erkek, okul)"
die Schülerin,pupil (f.),Top-Nomen: Menschen & Beziehungen,,n,"öğrenci (kız, okul)"
der Student,student (m.),Top-Nomen: Menschen & Beziehungen,,n,üniversite öğrencisi (erkek)
die Studentin,student (f.),Top-Nomen: Menschen & Beziehungen,,n,üniversite öğrencisi (kız)
der Arzt,doctor (m.),Top-Nomen: Menschen & Beziehungen,,n,doktor (erkek)
die Ärztin,doctor (f.),Top-Nomen: Menschen & Beziehungen,,n,doktor (kadın)
der Patient,patient (m.),Top-Nomen: Menschen & Beziehungen,,n,hasta (erkek)
die Patientin,patient (f.),Top-Nomen: Menschen & Beziehungen,,n,hasta (kadın)
das Paar,couple,Top-Nomen: Menschen & Beziehungen,,n,çift
die Ehe,marriage,Top-Nomen: Menschen & Beziehungen,,n,evlilik
der Ehemann,husband,Top-Nomen: Menschen & Beziehungen,,n,koca
die Ehefrau,wife,Top-Nomen: Menschen & Beziehungen,,n,eş (kadın)
der Name,name,Top-Nomen: Menschen & Beziehungen,,n,isim
das Alter,age,Top-Nomen: Menschen & Beziehungen,,n,yaş
die Jugend,youth,Top-Nomen: Menschen & Beziehungen,,n,gençlik
das Leben,life,Top-Nomen: Menschen & Beziehungen,,n,hayat
der Tod,death,Top-Nomen: Menschen & Beziehungen,,n,ölüm
die Geburt,birth,Top-Nomen: Menschen & Beziehungen,,n,doğum
die Gesundheit,health,Top-Nomen: Menschen & Beziehungen,,n,sağlık
die Krankheit,illness,Top-Nomen: Menschen & Beziehungen,,n,hastalık
der Charakter,character,Top-Nomen: Menschen & Beziehungen,,n,karakter
die Persönlichkeit,personality,Top-Nomen: Menschen & Beziehungen,,n,kişilik
das Haus,house,Top-Nomen: Zuhause & Alltag,,n,ev
