de,en,cat,ex,pos,tr
die Videokonferenz,video conference,E-Mail & Kommunikation,Das Gespräch findet als Videokonferenz statt.,,video konferans
sich einwählen,to dial in,E-Mail & Kommunikation,Bitte wählen Sie sich fünf Minuten vorher ein.,,bağlanmak (telefon/online toplantıya)
die Unterbrechung,interruption,E-Mail & Kommunikation,Entschuldigen Sie die Unterbrechung.,,"kesinti, ara"
zusammenfassen,to summarize,E-Mail & Kommunikation,Ich fasse kurz die wichtigsten Punkte zusammen.,,özetlemek
das Projekt,project,Projekte & Aufgaben,Das Projekt soll Ende des Monats fertig sein.,,proje
die Aufgabe,task,Projekte & Aufgaben,Diese Aufgabe hat hohe Priorität.,,görev
die Priorität,priority,Projekte & Aufgaben,Wir müssen klare Prioritäten setzen.,,öncelik
zuständig sein für,to be responsible for,Projekte & Aufgaben,Dafür ist mein Kollege zuständig.,,-den sorumlu olmak
erledigen,"to take care of, complete",Projekte & Aufgaben,Ich erledige das noch heute.,,"halletmek, tamamlamak"
umsetzen,to implement,Projekte & Aufgaben,Wie setzen wir das in der Praxis um?,,"uygulamaya koymak, hayata geçirmek"
der Fortschritt,progress,Projekte & Aufgaben,Der Fortschritt ist gut sichtbar.,,ilerleme
das Ergebnis,result,Projekte & Aufgaben,Das Ergebnis übertrifft unsere Erwartungen.,,sonuç
die Herausforderung,challenge,Projekte & Aufgaben,Das war eine echte Herausforderung für uns.,,"zorluk, meydan okuma"
bewältigen,"to manage, cope with",Projekte & Aufgaben,Wir haben das Problem gemeinsam bewältigt.,,"üstesinden gelmek, başarmak"
die Verantwortung übernehmen,to take responsibility,Projekte & Aufgaben,Sie übernimmt die Verantwortung für das Team.,,sorumluluk almak
delegieren,to delegate,Projekte & Aufgaben,Er delegiert Aufgaben an sein Team.,,devretmek (görev)
koordinieren,to coordinate,Projekte & Aufgaben,Wer koordiniert das neue Projekt?,,koordine etmek
der Meilenstein,milestone,Projekte & Aufgaben,Wir haben den ersten Meilenstein erreicht.,,kilometre taşı
die Deadline einhalten,to meet the deadline,Projekte & Aufgaben,Wir müssen diese Deadline unbedingt einhalten.,,son tarihe uymak
das Budget,budget,Geld & Geschäft,Das Budget ist dieses Jahr knapper.,,bütçe
die Kosten,costs,Geld & Geschäft,Die Kosten sind höher als geplant.,,maliyetler
der Umsatz,"revenue, turnover",Geld & Geschäft,Der Umsatz ist im letzten Quartal gestiegen.,,"ciro, hasılat"
der Gewinn,profit,Geld & Geschäft,Das Unternehmen macht dieses Jahr Gewinn.,,kâr
der Verlust,loss,Geld & Geschäft,Im letzten Jahr gab es einen Verlust.,,zarar
die Rechnung,"invoice, bill",Geld & Geschäft,Die Rechnung muss bis Ende Monat bezahlt werden.,,fatura
die Spesen,expenses (work-related),Geld & Geschäft,Die Spesen werden Ihnen erstattet.,,masraflar (iş ile ilgili)
das Angebot,"offer, quote",Geld & Geschäft,Wir schicken Ihnen gerne ein Angebot zu.,,teklif
die Bestellung,order,Geld & Geschäft,Ihre Bestellung wurde erfolgreich bearbeitet.,,sipariş
der Auftrag,"order, assignment",Geld & Geschäft,Wir haben einen neuen Auftrag bekommen.,,"sipariş, görev"
der Kunde / die Kundin,"client, customer",Geld & Geschäft,Der Kunde wartet auf eine Rückmeldung.,,müşteri
der Lieferant,supplier,Geld & Geschäft,Unser Lieferant liefert meist pünktlich.,,tedarikçi
die Verhandlung,negotiation,Geld & Geschäft,Die Verhandlung dauerte fast zwei Stunden.,,"görüşme, müzakere"
verhandeln,to negotiate,Geld & Geschäft,Über den Preis können wir noch verhandeln.,,"müzakere etmek, pazarlık etmek"
die Konkurrenz,competition (rival companies),Geld & Geschäft,Die Konkurrenz hat ein günstigeres Angebot.,,rekabet (rakip firmalar)
investieren,to invest,Geld & Geschäft,Wir investieren mehr in die Ausbildung.,,yatırım yapmak
die Bewerbung,job application,Bewerbung & Karriere,Ich habe meine Bewerbung gestern abgeschickt.,,iş başvurusu
der Lebenslauf,"CV, résumé",Bewerbung & Karriere,Bitte schicken Sie Ihren Lebenslauf mit.,,özgeçmiş (CV)
das Vorstellungsgespräch,job interview,Bewerbung & Karriere,Das Vorstellungsgespräch ist am Donnerstag.,,"iş görüşmesi, mülakat"
die Stelle,"position, job",Bewerbung & Karriere,Die Stelle ist ab März zu besetzen.,,"pozisyon, iş"
die Stellenanzeige,job posting,Bewerbung & Karriere,Ich habe die Stellenanzeige online gefunden.,,iş ilanı
die Qualifikation,qualification,Bewerbung & Karriere,Welche Qualifikationen werden gesucht?,,"nitelik, kalifikasyon"
die Erfahrung,experience,Bewerbung & Karriere,Ich habe mehrjährige Erfahrung im Kundenkontakt.,,deneyim
die Kündigung,"resignation, termination",Bewerbung & Karriere,Sie hat die Kündigung schriftlich eingereicht.,,"istifa, fesih"
befördert werden,to be promoted,Bewerbung & Karriere,Er wurde letzten Monat befördert.,,terfi etmek
die Probezeit,probation period,Bewerbung & Karriere,Die Probezeit dauert drei Monate.,,deneme süresi
der Arbeitsvertrag,employment contract,Bewerbung & Karriere,Bitte lesen Sie den Arbeitsvertrag genau durch.,,iş sözleşmesi
das Gehalt,salary,Bewerbung & Karriere,Über das Gehalt sprechen wir im zweiten Gespräch.,,maaş
die Weiterbildung,further training,Bewerbung & Karriere,Die Firma bietet regelmäßige Weiterbildungen an.,,"mesleki gelişim, ek eğitim"
Ich melde mich diesbezüglich.,I'll get back to you on this.,Nützliche Floskeln,Ich melde mich diesbezüglich noch diese Woche.,,Bu konuda size dönüş yapacağım.
Das müssen wir noch abklären.,We still need to clarify that.,Nützliche Floskeln,Den genauen Preis müssen wir noch abklären.,,Bunu hâlâ netleştirmemiz gerekiyor.
Könnten Sie das bitte genauer erläutern?,Could you elaborate on that?,Nützliche Floskeln,"Könnten Sie das bitte genauer erläutern, ich verstehe den Punkt noch nicht.",,Bunu biraz daha açıklayabilir misiniz?
"Ich bin mir nicht ganz sicher, ob...",I'm not entirely sure whether...,Nützliche Floskeln,"Ich bin mir nicht ganz sicher, ob der Termin noch passt.",,...olup olmadığından tam emin değilim.
Lassen Sie uns das im Team besprechen.,Let's discuss that with the team.,Nützliche Floskeln,Lassen Sie uns das morgen kurz im Team besprechen.,,Bunu ekiple konuşalım.
Ich komme gerne darauf zurück.,I'll gladly get back to that.,Nützliche Floskeln,Ich komme nach der Pause gerne darauf zurück.,,Bu konuya memnuniyetle geri döneceğim.
Das liegt momentan nicht in meiner Zuständigkeit.,That's currently not within my responsibility.,Nützliche Floskeln,"Das liegt leider nicht in meiner Zuständigkeit, fragen Sie am besten meinen Kollegen.",,Bu şu anda benim sorumluluğumda değil.
Vielen Dank für Ihr Verständnis.,Thank you for your understanding.,Nützliche Floskeln,Vielen Dank für Ihr Verständnis in dieser Angelegenheit.,,Anlayışınız için çok teşekkür ederim.
