de,en,cat,ex,pos,tr
der Angehörige,"relative, member",Goethe B1,Der Arzt darf nur Familienangehörigen Auskunft geben.,,"yakın, aile üyesi"
angenehm,pleasant,Goethe B1,Wir wünschen Ihnen eine angenehme Reise.,,"hoş, keyifli"
die Angst,"fear, anxiety",Goethe B1,Du brauchst keine Angst zu haben.,,"korku, endişe"
ängstlich,"anxious, fearful",Goethe B1,Meine Mutter ist etwas ängstlich.,,"endişeli, korkak"
anhaben,to wear (clothes),Goethe B1,Gestern hatte Julia ein rotes Kleid an.,,üstünde olmak (kıyafet)
anklicken,to click (on),Goethe B1,Du musst das Bild anklicken.,,tıklamak
ankommen,to arrive,Goethe B1,Wann kommt der Zug in Hamburg an?,,"varmak, gelmek"
die Ankunft,arrival,Goethe B1,"Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.",,varış
ankündigen,to announce,Goethe B1,Wir sollten unseren Besuch ankündigen.,,"duyurmak, bildirmek"
die Anlage,"system, facility, attachment",Goethe B1,Meine Musikanlage ist kaputt.,,"tesis, ek"
die Anleitung,"instructions, guide",Goethe B1,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.",,kullanım kılavuzu
anmelden,"to register, sign up",Goethe B1,Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,,kayıt yaptırmak
die Anmeldung,registration,Goethe B1,Wo bekomme ich die Formulare für die Anmeldung?,,kayıt
annehmen,"to accept, assume",Goethe B1,Ich nehme Ihre Einladung gern an.,,kabul etmek
die Annonce,"advertisement, ad",Goethe B1,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.",,"ilan, reklam"
die Anrede,"salutation, form of address",Goethe B1,Du darfst im Brief die Anrede nicht vergessen.,,"hitap, selamlama"
anrufen,to call (phone),Goethe B1,Ich rufe Sie heute Abend an.,,aramak (telefon)
der Anruf,phone call,Goethe B1,Ich warte auf einen Anruf aus Berlin.,,telefon araması
der Anrufbeantworter,answering machine,Goethe B1,Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,,telesekreter
die Ansage,announcement,Goethe B1,Achten Sie auf die Ansage am Bahnsteig.,,"anons, duyuru"
anschaffen,"to purchase, acquire",Goethe B1,Wir haben uns neue Möbel angeschafft.,,"satın almak, edinmek"
anschließen,"to connect, plug in",Goethe B1,Wo kann ich den Computer anschließen?,,bağlamak
der Anschluss,connection,Goethe B1,In Mannheim haben Sie Anschluss nach Saarbrücken.,,"bağlantı, aktarma"
anschnallen,to fasten (seatbelt),Goethe B1,"Vergiss nicht, dich anzuschnallen.",,emniyet kemeri takmak
ansehen,"to look at, watch",Goethe B1,Warum siehst du mich so erschrocken an?,,"bakmak, izlemek"
ansprechen,"to address, approach",Goethe B1,Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,,"söz açmak, yaklaşmak"
der Anspruch,"claim, entitlement",Goethe B1,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,,"hak, talep"
anstellen,"to turn on, hire",Goethe B1,Können Sie bitte die Heizung anstellen?,,"çalıştırmak, işe almak"
aufgeben,"to give up, send off",Goethe B1,Ich habe auf der Post ein Paket aufgegeben.,,"vazgeçmek, kargo vermek"
aufhalten,"to stop, stay",Goethe B1,Wo hält er sich gerade auf?,,"durdurmak, bulunmak"
aufheben,"to pick up, keep",Goethe B1,"Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.",,"yerden almak, saklamak"
aufhören,"to stop, quit",Goethe B1,Es hört nicht auf zu schneien.,,"durmak, bırakmak"
aufladen,to charge (device),Goethe B1,Ich muss mein Telefon aufladen.,,şarj etmek
auflösen,"to dissolve, disband",Goethe B1,Die Tablette bitte in Wasser auflösen.,,"çözmek, dağıtmak"
aufmerksam,"attentive, considerate",Goethe B1,Die Schülerin hörte aufmerksam zu.,,dikkatli
aufnehmen,"to accept, record",Goethe B1,Wir haben Aneta in unseren Verein aufgenommen.,,"kabul etmek, kaydetmek"
die Aufnahme,"recording, admission",Goethe B1,Bitte seid leise! – Ich starte die Aufnahme.,,"kayıt, kabul"
aufpassen,"to pay attention, look after",Goethe B1,Tut mir leid. Da habe ich wohl nicht aufgepasst.,,dikkat etmek
aufräumen,"to tidy up, clean up",Goethe B1,Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.,,"toplamak, düzenlemek"
aufregen,"to annoy, excite",Goethe B1,"Es regt mich auf, dass ich schon wieder Überstunden machen muss.",,"sinir bozmak, heyecanlandırmak"
aufregend,exciting,Goethe B1,Die Musikgruppe zu erleben war sehr aufregend.,,heyecan verici
aufstehen,"to get up, stand up",Goethe B1,Ich stehe jeden Morgen um sechs Uhr auf.,,kalkmak
der Auftrag,"order, task, commission",Goethe B1,Ich komme im Auftrag von Frau Müller.,,"görev, sipariş"
auftreten,"to perform, occur",Goethe B1,Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.,,"sahne almak, ortaya çıkmak"
aufwachen,to wake up,Goethe B1,Von dem Lärm bin ich aufgewacht.,,uyanmak
aufwärts,upward,Goethe B1,Der Weg geht immer aufwärts.,,yukarıya doğru
die Ausbildung,"training, apprenticeship",Goethe B1,Ich habe meine Ausbildung abgeschlossen.,,mesleki eğitim
ausgebildet,"trained, qualified",Goethe B1,Für diesen Beruf müssen Sie gut ausgebildet sein.,,"eğitimli, nitelikli"
ausdrucken,to print out,Goethe B1,Kann ich das auf deinem Drucker ausdrucken?,,yazdırmak
der Ausdruck,"expression, printout",Goethe B1,Diesen Ausdruck habe ich noch nie gehört.,,"ifade, çıktı"
auseinander,"apart, separately",Goethe B1,Wir wohnen nicht weit auseinander.,,"ayrı ayrı, uzakta"
die Ausfahrt,exit (road),Goethe B1,"Hier ist eine Ausfahrt, da dürfen Sie nicht parken.",,çıkış (yol)
ausfallen,"to be canceled, fall out",Goethe B1,Nächste Woche fällt der Kurs aus.,,iptal olmak
der Ausflug,"excursion, day trip",Goethe B1,Am Wochenende machen wir mit Freunden einen Ausflug.,,"gezi, piknik"
ausfüllen,to fill out (form),Goethe B1,Füllen Sie bitte dieses Formular aus!,,doldurmak (form)
die Ausgabe,"expense, edition",Goethe B1,Wie hoch sind Ihre Ausgaben in einem Monat?,,"harcama, yayın"
der Ausgang,exit,Goethe B1,Wo ist der Ausgang bitte?,,çıkış
der Aufzug,"elevator, lift",Goethe B1,Im Büro ist leider der Aufzug kaputt.,,asansör
das Auge,eye,Goethe B1,Meine beiden Kinder haben blaue Augen.,,göz
der Augenblick,"moment, instant",Goethe B1,In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.,,"an, an itibarıyla"
ausgeben,to spend (money),Goethe B1,Carola gibt viel Geld für ihr Hobby aus.,,harcamak (para)
ausgehen,"to go out, run out",Goethe B1,Plötzlich ist das Licht ausgegangen.,,"dışarı çıkmak, bitmek"
ausgezeichnet,excellent,Goethe B1,Essen und Unterkunft waren ausgezeichnet.,,mükemmel
die Aushilfe,temporary help,Goethe B1,Wir suchen eine freundliche Aushilfe für unser Geschäft.,,geçici çalışan
aus,"from, out of",Goethe B1,Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus.,,"dışarı, -den"
die Auskunft,"information, inquiry",Goethe B1,Ich hätte gern eine Auskunft.,,"bilgi, danışma"
das Ausland,"abroad, foreign country",Goethe B1,Wir fahren im Urlaub meistens ins Ausland.,,yurt dışı
der Ausländer,foreigner (male),Goethe B1,Viele Ausländer lernen in der Volkshochschule Deutsch.,,yabancı (erkek)
die Ausländerin,foreigner (female),Goethe B1,Die Ausländerin ist neu in der Stadt.,,yabancı (kadın)
ausländisch,foreign,Goethe B1,Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.,,yabancı
ausmachen,"to turn off, matter",Goethe B1,Kein Problem. Das macht mir nichts aus.,,"kapatmak, önemi olmak"
die Ausnahme,exception,Goethe B1,Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,,istisna
ausreichen,to be sufficient,Goethe B1,Das Geld muss bis März ausreichen.,,"yetmek, yeterli olmak"
ausreichend,"sufficient, adequate",Goethe B1,Das Geld ist für die Reise ausreichend.,,yeterli
ausrichten,to pass on (message),Goethe B1,Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?,,"iletmek, aktarmak"
sich ausruhen,to rest,Goethe B1,Sie ruhen sich von der Arbeit aus.,,dinlenmek
ausschließen,"to exclude, rule out",Goethe B1,Das kann man nicht ganz ausschließen.,,"dışlamak, hariç tutmak"
ausschließlich,"exclusively, only",Goethe B1,Wir haben ausschließlich Nichtraucherzimmer.,,"yalnızca, münhasıran"
aussehen,"to look, appear",Goethe B1,Sie sehen wieder besser aus.,,görünmek
außen,"outside, exterior",Goethe B1,Wir haben das Schloss nur von außen gesehen.,,"dışarıda, dış"
außerhalb,outside of,Goethe B1,Wir wohnen außerhalb von Berlin.,,dışında
äußerlich,"external, outward",Goethe B1,Das Medikament dürfen Sie nur äußerlich anwenden.,,"dışsal, görünümde"
außer,"except, besides",Goethe B1,Außer Lisa hat sich niemand um die Stelle beworben.,,"hariç, dışında"
außerdem,"besides, furthermore",Goethe B1,Möchten Sie außerdem noch etwas?,,"ayrıca, bunun yanı sıra"
die Aussicht,"view, prospect",Goethe B1,Von diesem Turm hat man eine tolle Aussicht.,,"manzara, olasılık"
aussprechen,"to pronounce, express",Goethe B1,Wie spricht man dieses Wort aus?,,telaffuz etmek
die Aussprache,pronunciation,Goethe B1,Ali hat eine gute Aussprache.,,telaffuz
ausstellen,"to exhibit, issue",Goethe B1,Im Schaufenster sind Winterschuhe ausgestellt.,,"sergilemek, düzenlemek"
die Ausstellung,exhibition,Goethe B1,Wir waren mit der Lehrerin in einer Ausstellung.,,sergi
sich aussuchen,"to choose, pick out",Goethe B1,Such dir etwas Schönes aus! Ich lade dich ein.,,seçmek
auswählen,"to select, choose",Goethe B1,Für die Aufgabe können Sie aus drei Themen auswählen.,,seçmek
die Auswahl,"selection, choice",Goethe B1,Wir müssen eine Auswahl aus den Büchern treffen.,,"seçim, çeşit"
der Ausweis,"ID card, pass",Goethe B1,Darf ich mal Ihren Ausweis sehen?,,kimlik kartı
ausziehen,"to take off, move out",Goethe B1,Willst du den Mantel nicht ausziehen?,,"çıkarmak (kıyafet), taşınmak"
das Auto,car,Goethe B1,Mario fährt mit dem Auto zur Arbeit.,,araba
die Autobahn,"highway, motorway",Goethe B1,Das Dorf liegt direkt an der Autobahn.,,otoyol
der Automat,"vending machine, automat",Goethe B1,Zigaretten bekommst du am Automaten.,,otomat
automatisch,automatic,Goethe B1,Die Tür schließt automatisch.,,otomatik
der Autor / die Autorin,author,Goethe B1,Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,,yazar
die Bar,bar,Goethe B1,Setzen wir uns doch an die Bar!,,bar
backen,to bake,Goethe B1,"Wenn du kommst, backe ich einen Kuchen.",,pişirmek (fırında)
die Bäckerei,bakery,Goethe B1,Wir kaufen unser Brot immer in der Bäckerei am Markt.,,fırın
baden,"to bathe, swim",Goethe B1,Wenn du baden möchtest: Das Badezimmer ist dort hinten links.,,"yıkanmak, banyo yapmak"
der Bart,beard,Goethe B1,John trägt jetzt einen Bart.,,sakal
der Basketball,basketball,Goethe B1,Sie spielt sehr gern Basketball.,,basketbol
das Bad,"bath, bathroom",Goethe B1,Nach einem warmen Bad fühlt man sich gleich viel besser.,,banyo
basteln,"to do crafts, make",Goethe B1,Die Kinder basteln ein Vogelhaus.,,el işi yapmak
die Badewanne,bathtub,Goethe B1,Nach einem langen Arbeitstag setzte sie sich in die Badewanne.,,küvet
die Bahn,"train, railway",Goethe B1,Ich komme mit der Bahn.,,"tren, demiryolu"
die S-Bahn,suburban train,Goethe B1,Die S-Bahn ist schneller als die Straßenbahn.,,banliyö treni
die Straßenbahn,tram,Goethe B1,Nehmen Sie die Straßenbahn Nr. 16.,,tramvay
die U-Bahn,"subway, underground",Goethe B1,Die letzte U-Bahn geht um 23.15 Uhr.,,metro
der Bahnhof,train station,Goethe B1,Ich bringe Sie zum Bahnhof.,,tren istasyonu
der Bahnsteig,platform,Goethe B1,Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,,peron
bald,soon,Goethe B1,Besuchen Sie uns doch bald mal.,,yakında
die Batterie,battery,Goethe B1,Bringst du bitte Batterien für die Kamera mit?,,"pil, batarya"
der Bauch,"stomach, belly",Goethe B1,Mir tut der Bauch weh.,,"karın, göbek"
bauen,"to build, construct",Goethe B1,Mein Nachbar hat ein Haus gebaut.,,inşa etmek
der Bau,"construction, building",Goethe B1,Ich wohne in einer Neubauwohnung.,,"inşaat, yapı"
die Baustelle,construction site,Goethe B1,Wir müssen die Baustelle umfahren.,,"şantiye, inşaat alanı"
der Bauer,farmer,Goethe B1,Wir kaufen unser Gemüse beim Bauern.,,çiftçi
der Baum,tree,Goethe B1,Wir haben zwei Bäume im Garten.,,ağaç
beachten,"to pay attention to, observe",Goethe B1,Bitte beachten Sie die Ansagen am Bahnsteig.,,dikkate almak
der Balkon,balcony,Goethe B1,Die Wohnung hat auch einen kleinen Balkon.,,balkon
der Ball,ball,Goethe B1,Ich spiele gern mit meinen Kindern Ball.,,top
das Ballett,ballet,Goethe B1,Meine Tochter möchte gern Ballett tanzen.,,bale
die Banane,banana,Goethe B1,"1 Kilo Bananen, bitte.",,muz
die Bank,bank / bench,Goethe B1,"Kommt, wir setzen uns auf die Bank da vorne.",,banka / bank
der Bancomat/Bankomat,"ATM, cash machine",Goethe B1,Ich hole noch schnell Geld vom Bankomaten.,,"ATM, bankamatik"
die Bankleitzahl,bank code,Goethe B1,Bitte geben Sie Ihre Bankleitzahl an.,,banka kodu
die Bankomat-Karte,debit card,Goethe B1,Sie können auch mit Bankomat-Karte zahlen.,,banka kartı
der Beamte / die Beamtin,civil servant,Goethe B1,Meine Frau ist Beamtin bei der Polizei.,,memur
beantragen,to apply for,Goethe B1,Hast du schon einen neuen Pass beantragt?,,başvurmak
beantworten,to answer,Goethe B1,Sie haben meine Frage leider nicht beantwortet.,,cevaplamak
sich bedanken,to thank,Goethe B1,Ich möchte mich sehr herzlich für Ihre Hilfe bedanken.,,teşekkür etmek
der Bedarf,"need, demand",Goethe B1,An diesem Produkt besteht großer Bedarf.,,"ihtiyaç, talep"
bedeuten,to mean,Goethe B1,Was bedeutet dieses Wort?,,anlamına gelmek
die Bedeutung,"meaning, importance",Goethe B1,Das Wort Maus hat inzwischen zwei Bedeutungen.,,"anlam, önem"
bedienen,"to serve, operate",Goethe B1,Werden Sie schon bedient?,,"servis yapmak, kullanmak"
die Bedienungsanleitung,instruction manual,Goethe B1,Die Bedienungsanleitung verstehe ich nicht.,,kullanım kılavuzu
die Bedingung,"condition, requirement",Goethe B1,"Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.",,"koşul, şart"
sich beeilen,to hurry,Goethe B1,Wir müssen uns beeilen. Sonst verpassen wir den Zug.,,acele etmek
beenden,"to finish, end",Goethe B1,Du musst deine Ausbildung auf jeden Fall beenden.,,"bitirmek, sona erdirmek"
sich befinden,to be located,Goethe B1,Das Bord-Bistro befindet sich in der Mitte des Zuges.,,"bulunmak, yer almak"
befreit,"exempt, freed",Goethe B1,Studenten sind von den Rundfunk-Gebühren befreit.,,muaf
befriedigend,satisfactory,Goethe B1,Das Ergebnis ist befriedigend.,,tatmin edici
begegnen,"to meet, encounter",Goethe B1,Sind wir uns nicht schon mal irgendwann begegnet?,,karşılaşmak
begeistert,"enthusiastic, thrilled",Goethe B1,Es war ein tolles Konzert. Ich bin begeistert.,,"hevesli, coşkulu"
beginnen,to begin,Goethe B1,In zwei Wochen beginnen die Sommerferien.,,başlamak
der Beginn,"beginning, start",Goethe B1,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.,,başlangıç
begleiten,to accompany,Goethe B1,Ich begleite dich ein Stück.,,eşlik etmek
begrenzt,limited,Goethe B1,Die Teilnehmerzahl ist auf 12 begrenzt.,,sınırlı
begründen,"to justify, give reasons",Goethe B1,Bitte begründen Sie Ihre Meinung.,,gerekçe göstermek
die Begründung,"justification, reason",Goethe B1,Die Miete wurde ohne Begründung erhöht.,,gerekçe
begrüßen,"to greet, welcome",Goethe B1,Der Gastgeber begrüßt seine Gäste.,,"karşılamak, selamlamak"
behalten,"to keep, retain",Goethe B1,Darf ich die Zeitschrift behalten?,,"saklamak, akılda tutmak"
behandeln,"to treat, deal with",Goethe B1,Welcher Arzt hat Sie bis jetzt behandelt?,,tedavi etmek
behaupten,"to claim, assert",Goethe B1,"Er behauptet, unsere Meinung sei nicht wichtig.",,iddia etmek
behindern,"to hinder, obstruct",Goethe B1,"Bitte parken Sie so, dass Sie niemanden behindern.",,engellemek
die Behörde,"authority, office",Goethe B1,Sie erhalten ein Schreiben von der zuständigen Behörde.,,"yetkili makam, idare"
bei,"at, near, with",Goethe B1,Potsdam liegt bei Berlin.,,"-de, yanında, -ile"
beid-,both,Goethe B1,Beide waren mit meinem Vorschlag einverstanden.,,"her iki, ikisi de"
das Bein,leg,Goethe B1,Andreas hat sich das Bein gebrochen.,,bacak
beinahe,"almost, nearly",Goethe B1,Ich habe heute beinahe den Bus verpasst.,,neredeyse
das Beispiel,example,Goethe B1,Können Sie mir ein Beispiel sagen?,,örnek
beißen,to bite,Goethe B1,"Pass auf, dass dich der Hund nicht beißt!",,ısırmak
der Beitrag,"contribution, fee",Goethe B1,Die Krankenkasse hat die Beiträge erhöht.,,"katkı, aidat"
bekannt,"known, familiar",Goethe B1,Ein Onkel von mir ist ein bekannter Politiker.,,"tanınan, bilinen"
der/die Bekannte,acquaintance,Goethe B1,In Hannover wohnen Bekannte von mir.,,tanıdık
bekannt geben,to announce,Goethe B1,Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.,,duyurmak
bekommen,"to get, receive",Goethe B1,Haben Sie meinen Brief bekommen?,,"almak, elde etmek"
der Beleg,"receipt, proof",Goethe B1,Brauchen Sie einen Beleg?,,"makbuz, kanıt"
beleidigen,"to offend, insult",Goethe B1,Ich wollte Sie nicht beleidigen.,,hakaret etmek
beliebt,"popular, well-liked",Goethe B1,Dieses Spiel ist bei Jugendlichen sehr beliebt.,,"sevilen, popüler"
bemerken,to notice,Goethe B1,"Ich habe nicht bemerkt, dass das Fenster offen ist.",,fark etmek
sich bemühen,to make an effort,Goethe B1,"Er hat sich sehr bemüht, etwas Gutes zu kochen.",,çaba göstermek
benötigen,"to need, require",Goethe B1,"Sagen Sie Bescheid, wenn Sie noch etwas benötigen.",,ihtiyaç duymak
benutzen,to use,Goethe B1,Benutzen Sie bitte die öffentlichen Verkehrsmittel.,,kullanmak
das Benzin,"petrol, gasoline",Goethe B1,Das Benzin soll wieder teurer werden.,,benzin
beobachten,"to observe, watch",Goethe B1,Wer hat den Unfall beobachtet?,,gözlemlemek
bequem,comfortable,Goethe B1,Meine Kinder ziehen am liebsten bequeme Sachen an.,,"rahat, konforlu"
beraten,"to advise, consult",Goethe B1,Unser Personal berät Sie gern.,,danışmanlık vermek
die Beratung,"consultation, advice",Goethe B1,Beratungen für Familien gibt es jeden Dienstag.,,danışmanlık
berechnen,to calculate,Goethe B1,Die Kosten für die Fahrt müssen erst berechnet werden.,,hesaplamak
