de,en,cat,ex,pos,tr
die Glace,ice cream (CH),Helvetismen,Zwei Kugeln Glace bitte.,,dondurma (İsviçre)
parkieren,to park (CH),Helvetismen,Hier dürfen Sie nicht parkieren.,,park etmek (İsviçre)
das Natel,mobile phone (CH),Helvetismen,Ich erreiche Sie am besten übers Natel.,,cep telefonu (İsviçre)
die Wohnung,apartment,Wohnung & Möbel,Die Wohnung hat zwei Zimmer.,,daire
das Zimmer,room,Wohnung & Möbel,Mein Zimmer ist ziemlich klein.,,oda
die Küche,kitchen,Wohnung & Möbel,Die Küche ist frisch renoviert.,,mutfak
das Schlafzimmer,bedroom,Wohnung & Möbel,Im Schlafzimmer steht nur ein Bett.,,yatak odası
das Wohnzimmer,living room,Wohnung & Möbel,Wir sitzen abends im Wohnzimmer.,,oturma odası
das Badezimmer,bathroom,Wohnung & Möbel,Das Badezimmer hat eine Dusche.,,banyo
der Flur,hallway,Wohnung & Möbel,Die Schuhe stehen im Flur.,,"koridor, antre"
der Balkon,balcony,Wohnung & Möbel,Im Sommer frühstücken wir auf dem Balkon.,,balkon
der Keller,"cellar, basement",Wohnung & Möbel,Die Velos stehen im Keller.,,"bodrum, kiler"
der Schrank,"cupboard, closet",Wohnung & Möbel,Die Teller sind im Schrank.,,dolap
das Regal,shelf,Wohnung & Möbel,Die Bücher stehen im Regal.,,raf
der Tisch,table,Wohnung & Möbel,Der Tisch steht in der Mitte des Zimmers.,,masa
der Stuhl,chair,Wohnung & Möbel,Bitte nehmen Sie auf diesem Stuhl Platz.,,sandalye
das Sofa,"sofa, couch",Wohnung & Möbel,Wir haben ein neues Sofa gekauft.,,kanepe
das Bett,bed,Wohnung & Möbel,Das Bett ist sehr bequem.,,yatak
die Matratze,mattress,Wohnung & Möbel,Die Matratze ist schon etwas alt.,,"yatak (şilte), şilte"
die Lampe,lamp,Wohnung & Möbel,Die Lampe im Flur ist kaputt.,,lamba
der Spiegel,mirror,Wohnung & Möbel,Der Spiegel hängt über dem Waschbecken.,,ayna
der Teppich,"carpet, rug",Wohnung & Möbel,Der Teppich passt gut zur Couch.,,halı
der Vorhang,curtain,Wohnung & Möbel,Die Vorhänge sind dunkelblau.,,perde
die Schublade,drawer,Wohnung & Möbel,Das Besteck liegt in der Schublade.,,çekmece
der Herd,stove,Wohnung & Möbel,Der Herd hat vier Platten.,,ocak (mutfak)
der Backofen,oven,Wohnung & Möbel,Der Kuchen ist noch im Backofen.,,fırın
der Kühlschrank,fridge,Wohnung & Möbel,Im Kühlschrank ist nichts mehr.,,buzdolabı
die Spülmaschine,dishwasher,Wohnung & Möbel,Stell den Teller in die Spülmaschine.,,bulaşık makinesi
die Waschmaschine,washing machine,Wohnung & Möbel,Die Waschmaschine ist im Keller.,,çamaşır makinesi
der Staubsauger,vacuum cleaner,Wohnung & Möbel,Der Staubsauger ist kaputt gegangen.,,elektrikli süpürge
der Besen,broom,Wohnung & Möbel,Hol bitte den Besen aus dem Keller.,,süpürge
der Eimer,bucket,Wohnung & Möbel,Der Eimer steht neben der Tür.,,kova
die Steckdose,power outlet,Wohnung & Möbel,Die Steckdose neben dem Bett funktioniert nicht.,,priz
der Schalter,switch,Wohnung & Möbel,Der Schalter ist links neben der Tür.,,anahtar (elektrik)
die Heizung,heating,Wohnung & Möbel,Die Heizung ist im Winter sehr wichtig.,,"kalorifer, ısıtma"
das Fenster,window,Wohnung & Möbel,Bitte mach das Fenster zu.,,pencere
die Tür,door,Wohnung & Möbel,Die Tür klemmt ein bisschen.,,kapı
das Schloss,lock,Wohnung & Möbel,Das Schloss an der Haustür ist neu.,,kilit
der Schlüssel,key,Wohnung & Möbel,Ich habe meinen Schlüssel vergessen.,,anahtar
der Mülleimer,trash can,Wohnung & Möbel,Der Mülleimer ist schon wieder voll.,,çöp kovası
der Wäschekorb,laundry basket,Wohnung & Möbel,Die schmutzige Wäsche liegt im Wäschekorb.,,çamaşır sepeti
das Bügeleisen,iron (for clothes),Wohnung & Möbel,Das Bügeleisen ist noch heiss.,,ütü
die Glühbirne,light bulb,Wohnung & Möbel,Die Glühbirne im Flur muss ausgetauscht werden.,,ampul
der Briefkasten,mailbox,Wohnung & Möbel,Schau bitte im Briefkasten nach.,,posta kutusu
die Miete,rent,Wohnung & Möbel,Die Miete wird Anfang Monat überwiesen.,,kira
der Umzug,move (relocation),Wohnung & Möbel,Der Umzug ist nächsten Samstag.,,taşınma
kaputt,broken,Wohnung & Möbel,Die Lampe im Bad ist kaputt.,,"bozuk, kırık"
reparieren,to repair,Wohnung & Möbel,Können Sie das bitte reparieren?,,tamir etmek
